neightbors / embeddings,3,5,8,10,15,20,30,40
10,0.0303,0.0475,0.0461,0.0414,0.0379,0.0392,0.0378,0.0311
15,0.0486,0.0457,0.0476,0.0417,0.0400,0.0488,0.0303,0.0281
20,0.0464,0.0456,0.0483,0.0413,0.0374,0.0449,0.0356,0.0272
25,0.0473,0.0456,0.0472,0.0413,0.0367,0.0351,0.0367,0.0124
30,0.0468,0.0460,0.0416,0.0413,0.0364,0.0362,0.0350,0.0275
40,0.0485,0.0447,0.0474,0.0481,0.0427,0.0482,0.0351,0.0253
50,0.0449,0.0459,0.0402,0.0403,0.0362,0.0354,0.0290,0.0230
